Data,faixaEtaria,quantidade,sexo
2020-04-02,Indefinido,9,Masculino
2020-04-03,0 a 4 anos,4,Masculino
2020-04-03,0 a 4 anos,4,Feminino
2020-04-03,5 a 9 anos,2,Masculino
2020-04-03,5 a 9 anos,3,Feminino
2020-04-03,10 a 14 anos,1,Feminino
2020-04-03,10 a 14 anos,1,Masculino
2020-04-03,15 a 19 anos,6,Feminino
2020-04-03,15 a 19 anos,3,Masculino
2020-04-03,20 a 24 anos,21,Feminino
2020-04-03,20 a 24 anos,14,Masculino
2020-04-03,25 a 29 anos,35,Feminino
2020-04-03,25 a 29 anos,25,Masculino
2020-04-03,30 a 34 anos,46,Feminino
2020-04-03,30 a 34 anos,48,Masculino
2020-04-03,35 a 39 anos,42,Feminino
2020-04-03,35 a 39 anos,57,Masculino
2020-04-03,40 a 44 anos,50,Masculino
2020-04-03,40 a 44 anos,44,Feminino
2020-04-03,45 a 49 anos,33,Feminino
2020-04-03,45 a 49 anos,43,Masculino
2020-04-03,50 a 54 anos,22,Feminino
2020-04-03,50 a 54 anos,38,Masculino
2020-04-03,55 a 59 anos,33,Masculino
2020-04-03,55 a 59 anos,26,Feminino
2020-04-03,60 a 64 anos,27,Feminino
2020-04-03,60 a 64 anos,26,Masculino
2020-04-03,65 a 69 anos,18,Feminino
2020-04-03,65 a 69 anos,21,Masculino
2020-04-03,70 a 74 anos,11,Feminino
2020-04-03,70 a 74 anos,15,Masculino
2020-04-03,75 a 79 anos,5,Feminino
2020-04-03,75 a 79 anos,10,Masculino
2020-04-03,80 anos ou mais,10,Feminino
2020-04-03,80 anos ou mais,11,Masculino
2020-04-03,Indefinido,4,Feminino
2020-04-03,Indefinido,11,Masculino
2020-04-04,0 a 4 anos,6,Masculino
